,GTR,game_id,player_id,team_id,X,Y,MP,GD,OC,VX,VY,ED,Angle,T,episode
67018,99.98,7562,5535.0,784,49.583333333333336,49.375,0,0,1,-13.162224415926302,1.233958538993083,1.013,3.0579194799105,-1,1
67019,99.96,7562,5523.0,784,36.25,50.625,0,0,1,1.388888888888887,-1.0416666666666727,1.2,0.6535678828180369,-1,1
67020,99.94,7562,5523.0,784,37.916666666666664,49.375,0,0,1,-4.419191919191915,13.25757575757575,1.32,2.1360815020008372,-1,1
67021,99.92,7562,5529.0,784,32.08333333333334,66.875,0,0,1,0.8114248620577481,-1.2171372930866742,1.027,0.7539545243635055,-1,1
67022,99.9,7562,5529.0,784,32.91666666666666,65.625,0,0,1,0.30051688904916285,-21.1864406779661,2.773,2.1336510114733374,-1,1
67023,99.85,7562,5521.0,784,33.75,6.875,0,0,1,0.6755843804891221,-0.5066882853668423,2.467,1.245514594877583,-1,1
67024,99.81,7562,5521.0,784,35.41666666666667,5.625,0,0,1,-2.1118432167595937,22.174353775975664,1.973,1.6566573744725932,-1,1
67025,99.77,7562,5738.0,784,31.25,49.375,0,0,1,0.0,4.13450937155456,0.907,1.6162196062164735,-1,1
67026,99.75,7562,5738.0,784,31.25,53.125,0,0,1,6.623613180990228,10.556383507203176,2.013,1.4248173322870217,-1,1
67027,99.72,7562,5529.0,784,44.583333333333336,74.375,0,0,1,1.358326541700617,2.0374898125509255,1.227,1.4464413322481358,-1,1
67028,99.7,7562,5529.0,784,46.25,76.875,0,0,1,4.973003694231312,17.05029838022164,1.173,2.0614118123012832,-1,1
67029,99.68,7562,5518.0,784,52.083333333333336,96.875,0,0,1,-4.930966469428008,-2.8029299241029594e-14,0.507,2.392580992971912,-1,1
67030,99.67,7562,5518.0,784,49.583333333333336,96.875,0,0,1,-6.897740989825837,-6.466632177961725,1.933,1.893915550238621,-1,1
67031,99.63,7562,5738.0,784,36.25,84.375,0,0,1,0.3491132523390568,-4.713028906577294,2.387,1.1446343608677345,-1,1
67032,99.59,7562,5738.0,784,37.083333333333336,73.125,0,0,1,1.2933264355923397,-20.046559751681333,1.933,1.7594451395339454,-1,1
67033,99.56,7562,5530.0,784,39.58333333333333,34.375,0,0,1,2.272210861167913,-1.7041581458759372,1.467,0.9509512079554213,-1,1
67034,99.53,7562,5530.0,784,42.916666666666664,31.875,0,0,1,8.930564858227275,-20.093770931011385,1.493,1.9855532638900992,-1,1
67035,99.51,7562,3632.0,784,56.25,1.875,0,0,1,-0.23232041631818867,0.6969612489545578,3.587,1.0956018868875803,-1,1
67036,99.44,7562,3632.0,784,55.41666666666667,4.375,0,0,1,-6.110171084790379,5.6401579244218825,1.773,1.8248356974820081,-1,1
67037,99.41,7562,5530.0,784,44.583333333333336,14.375,0,0,1,-1.00765820233777,3.0229746070133015,0.827,1.360337377077661,-1,1
67038,99.4,7562,5530.0,784,43.75,16.875,0,0,1,-0.4402183483007584,23.111463285789743,1.893,1.7738671337683751,-1,1
67039,99.36,7562,5738.0,784,42.916666666666664,60.625,0,0,1,1.6886187098953105,-1.2664640324214937,0.987,0.47591489811972515,-1,1
67040,99.35,7562,5738.0,784,44.583333333333336,59.375,0,0,1,4.742196930505255,18.1065700982928,1.933,2.0793564038468975,-1,1
67041,99.31,7562,5518.0,784,53.75,94.375,0,0,1,1.178689297501162,3.536067892503516,0.707,2.0502439752856825,-1,1
67042,99.3,7562,5518.0,784,54.58333333333333,96.875,0,0,0,4.1666666666666785,-6.250000000000071,0.2,0.1858487289433677,-1,1
67043,99.24,7562,5518.0,784,55.41666666666667,95.625,0,0,1,-0.22281639928699185,1.0026737967914356,3.740000000000002,2.6165974311989957,-1,1
